name,tr_gap,tr_global_acc,tr_round,tr_seen_acc,tr_void_acc
PAPER_dcas_T50_seed12_d5_B3,0.326075,0.3482,7,0.3378,0.2153
PAPER_dcas_T50_seed12_d5_B3,0.24125000000000002,0.1772,8,0.18695,0.181075
PAPER_dcas_T50_seed12_d5_B3,0.23280000000000003,0.1893,9,0.20164999999999997,0.165275
PAPER_dcas_T50_seed12_d5_B3,0.25648750000000003,0.2536,10,0.2522,0.1950125
PAPER_dcas_T50_seed12_d5_B3,0.1954125,0.2475,11,0.22545,0.18538749999999998
PAPER_dcas_T50_seed12_d5_B3,0.2259,0.1015,12,0.16804999999999998,0.1288
PAPER_dcas_T50_seed12_d5_B3,0.2481125,0.1548,13,0.23015,0.1732125
PAPER_dcas_T50_seed12_d5_B3,0.27533749999999996,0.2946,14,0.30025,0.22168749999999998
PAPER_dcas_T50_seed12_d5_B3,0.3335375,0.2222,15,0.30855,0.20761250000000003
PAPER_dcas_T50_seed12_d5_B3,0.3204625,0.2946,16,0.33075000000000004,0.22943749999999996
PAPER_dcas_T50_seed12_d5_B3,0.318775,0.3149,17,0.37105,0.28454999999999997
PAPER_dcas_T50_seed12_d5_B3,0.19885000000000003,0.1612,18,0.21269999999999997,0.174075
PAPER_dcas_T50_seed12_d5_B3,0.22995000000000002,0.2489,19,0.31210000000000004,0.23535000000000003
PAPER_dcas_T50_seed12_d5_B3,0.23078749999999998,0.1299,20,0.2447,0.15238749999999998
PAPER_dcas_T50_seed12_d5_B3,0.20917500000000003,0.2483,21,0.3155,0.22737499999999997
PAPER_dcas_T50_seed12_d5_B3,0.2882625,0.3658,22,0.37315,0.2633375
PAPER_dcas_T50_seed12_d5_B3,0.2933875,0.3533,23,0.33295,0.2405125
PAPER_dcas_T50_seed12_d5_B3,0.34145,0.3982,24,0.3625,0.24337499999999998
PAPER_dcas_T50_seed12_d5_B3,0.3265625,0.4494,25,0.40995,0.2887625
PAPER_dcas_T50_seed12_d5_B3,0.3174625,0.3911,26,0.42190000000000005,0.31408749999999996
PAPER_dcas_T50_seed12_d5_B3,0.348425,0.4268,27,0.44480000000000003,0.33367499999999994
PAPER_dcas_T50_seed12_d5_B3,0.3410625,0.4613,28,0.45255,0.3344875
PAPER_dcas_T50_seed12_d5_B3,0.3419125,0.4524,29,0.45940000000000014,0.34346249999999995
PAPER_dcas_T50_seed12_d5_B3,0.3804125,0.4609,30,0.44365,0.3233375
PAPER_dcas_T50_seed12_d5_B3,0.32500000000000007,0.4201,31,0.44125,0.32875
PAPER_dcas_T50_seed12_d5_B3,0.33187500000000003,0.4605,32,0.4366999999999999,0.32145
PAPER_dcas_T50_seed12_d5_B3,0.3353625,0.4539,33,0.44535,0.33866250000000003
PAPER_dcas_T50_seed12_d5_B3,0.32491250000000005,0.4459,34,0.44205000000000005,0.33148749999999993
PAPER_dcas_T50_seed12_d5_B3,0.4109375,0.3534,35,0.3961,0.29166250000000005
PAPER_dcas_T50_seed12_d5_B3,0.35062499999999996,0.4056,36,0.4125,0.30075
PAPER_dcas_T50_seed12_d5_B3,0.40759999999999996,0.4005,37,0.42750000000000005,0.31425000000000003
PAPER_dcas_T50_seed12_d5_B3,0.40354999999999996,0.4483,38,0.43784999999999996,0.324225
PAPER_dcas_T50_seed12_d5_B3,0.3736625,0.3877,39,0.40280000000000005,0.30886250000000004
PAPER_dcas_T50_seed12_d5_B3,0.4118375,0.4457,40,0.44155000000000005,0.33523749999999997
PAPER_dcas_T50_seed12_d5_B3,0.37339999999999995,0.4717,41,0.48810000000000003,0.389725
PAPER_dcas_T50_seed12_d5_B3,0.395425,0.3694,42,0.4190499999999999,0.34954999999999997
PAPER_dcas_T50_seed12_d5_B3,0.39176249999999996,0.4294,43,0.45920000000000005,0.35776250000000004
